sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
17059_1#44	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#49	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#70	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#51	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#50	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#53	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#54	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	R	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#56	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#55	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#71	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
