curve_id	sample_id	repeat_id	environment
NE728_000.4	NE728	5	0
NE728_000.5	NE728	6	0
NE728_000.6	NE728	7	0
NE728_000.7	NE728	8	0
NE728_000.8	NE728	9	0
NE187_000	NE187	1	0
NE187_000.1	NE187	2	0
NE187_000.2	NE187	3	0
NE187_000.3	NE187	4	0
NE187_000.4	NE187	5	0
NE187_000.5	NE187	6	0
NE187_000.6	NE187	7	0
NE187_000.7	NE187	8	0
NE187_000.8	NE187	9	0
N1227_000	N1227	1	0
N1227_000.1	N1227	2	0
N1227_000.2	N1227	3	0
N1227_000.3	N1227	4	0
N1227_000.4	N1227	5	0
N1227_000.5	N1227	6	0
N1227_000.6	N1227	7	0
N1227_000.7	N1227	8	0
N1227_000.8	N1227	9	0
JE2_000	JE2	1	0
JE2_000.1	JE2	2	0
JE2_000.2	JE2	3	0
JE2_000.3	JE2	4	0
JE2_000.4	JE2	5	0
JE2_000.5	JE2	6	0
JE2_000.6	JE2	7	0
JE2_000.7	JE2	8	0
JE2_000.8	JE2	9	0
NE391_000	NE391	1	0
NE391_000.1	NE391	2	0
NE391_000.2	NE391	3	0
NE391_000.3	NE391	4	0
NE391_000.4	NE391	5	0
NE391_000.5	NE391	6	0
NE391_000.6	NE391	7	0
NE391_000.7	NE391	8	0
NE391_000.8	NE391	9	0
NE1182_000	NE1182	1	0
NE1182_000.1	NE1182	2	0
NE1182_000.2	NE1182	3	0
NE1182_000.3	NE1182	4	0
NE1182_000.4	NE1182	5	0
NE1182_000.5	NE1182	6	0
NE1182_000.6	NE1182	7	0
NE1182_000.7	NE1182	8	0
NE1182_000.8	NE1182	9	0
MPROS1912_000	MPROS1912	1	0
MPROS1912_000.1	MPROS1912	2	0
MPROS1912_000.2	MPROS1912	3	0
MPROS1912_000.3	MPROS1912	4	0
MPROS1912_000.4	MPROS1912	5	0
MPROS1912_000.5	MPROS1912	6	0
MPROS1912_000.6	MPROS1912	7	0
MPROS1912_000.7	MPROS1912	8	0
MPROS1912_000.8	MPROS1912	9	0
MPROS0237_000	MPROS0237	1	0
MPROS0237_000.1	MPROS0237	2	0
MPROS0237_000.2	MPROS0237	3	0
MPROS0237_000.3	MPROS0237	4	0
MPROS0237_000.4	MPROS0237	5	0
MPROS0237_000.5	MPROS0237	6	0
MPROS0237_000.6	MPROS0237	7	0
MPROS0237_000.7	MPROS0237	8	0
MPROS0237_000.8	MPROS0237	9	0
NEG	NEG	1	NEG
NEG.1	NEG	2	NEG
NEG.2	NEG	3	NEG
NE1007_000	NE1007	1	0
NE1007_000.1	NE1007	2	0
NE1007_000.2	NE1007	3	0
NE1007_000.3	NE1007	4	0
NE1007_000.4	NE1007	5	0
NE1007_000.5	NE1007	6	0
NE1007_000.6	NE1007	7	0
NE1007_000.7	NE1007	8	0
NE1007_000.8	NE1007	9	0
NE1360_000	NE1360	1	0
NE1360_000.1	NE1360	2	0
NE1360_000.2	NE1360	3	0
NE1360_000.3	NE1360	4	0
NE1360_000.4	NE1360	5	0
NE1360_000.5	NE1360	6	0
NE1360_000.6	NE1360	7	0
NE1360_000.7	NE1360	8	0
NE1360_000.8	NE1360	9	0
NE543_000	NE543	1	0
NE543_000.1	NE543	2	0
NE543_000.2	NE543	3	0
NE543_000.3	NE543	4	0
NE543_000.4	NE543	5	0
NE543_000.5	NE543	6	0
NE543_000.6	NE543	7	0
NE543_000.7	NE543	8	0
NE543_000.8	NE543	9	0
